Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6815","Transformación de alimentos","2007","2007","mil toneladas","441886.097454","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6815","Transformación de alimentos","2008","2008","mil toneladas","446444.685404","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6815","Transformación de alimentos","2009","2009","mil toneladas","445753.267987","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6815","Transformación de alimentos","2010","2010","mil toneladas","461299.72058","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6815","Transformación de alimentos","2011","2011","mil toneladas","472610.37465","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6815","Transformación de alimentos","2012","2012","mil toneladas","480219.76189","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6815","Transformación de alimentos","2013","2013","mil toneladas","508367.823311","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6815","Transformación de alimentos","2014","2014","mil toneladas","519322.279389","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6815","Transformación de alimentos","2015","2015","mil toneladas","525534.104844","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6815","Transformación de alimentos","2016","2016","mil toneladas","530623.991384","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6815","Transformación de alimentos","2017","2017","mil toneladas","522850.583168","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6815","Transformación de alimentos","2018","2018","mil toneladas","527632.929964","E","Valor estimado"
